state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
YUC,31,Yucatan,infraestructura_digital,personas_banca_electronica_pct,18.75,2024,INEGI ENDUTIH 2024,%
ZAC,32,Zacatecas,infraestructura_digital,personas_banca_electronica_pct,7.17,2024,INEGI ENDUTIH 2024,%
AGS,01,Aguascalientes,cobertura_red,personas_con_celular_pct,86.12,2024,INEGI ENDUTIH 2024,%
BCN,02,Baja California,cobertura_red,personas_con_celular_pct,90.72,2024,INEGI ENDUTIH 2024,%
BCS,03,Baja California Sur,cobertura_red,personas_con_celular_pct,89.92,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,cobertura_red,personas_con_celular_pct,76.82,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,cobertura_red,personas_con_celular_pct,87.79,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,cobertura_red,personas_con_celular_pct,87.05,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,cobertura_red,personas_con_celular_pct,63.09,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,cobertura_red,personas_con_celular_pct,84.7,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,cobertura_red,personas_con_celular_pct,87.39,2024,INEGI ENDUTIH 2024,%
